        eV      barns         eV      barns         eV      barns
 ---------- ---------- ---------- ---------- ---------- ----------
 2.889000+6 2.774800+0 2.889100+6 3.001000+0 2.889200+6 2.737500+0
 2.889300+6 2.095300+0 2.889400+6 1.563200+0 2.889500+6 1.260900+0
 2.889600+6 1.107000+0 2.889700+6 1.030200+0 2.889800+6 9.921500-1
 2.890000+6 9.665600-1 2.890500+6 9.772400-1 2.891000+6 9.985100-1
 2.892000+6 1.028300+0 2.894000+6 1.057400+0 2.896000+6 1.071500+0
 2.898000+6 1.080000+0 2.900000+6 1.085800+0 2.950000+6 1.137000+0
 3.000000+6 1.206500+0 3.005000+6 1.229600+0 3.005500+6 1.237100+0
 3.006000+6 1.251000+0 3.006100+6 1.255500+0 3.006200+6 1.260900+0
 3.006300+6 1.267800+0 3.006400+6 1.276800+0 3.006500+6 1.288900+0
 3.006600+6 1.306300+0 3.006700+6 1.333300+0 3.006800+6 1.380400+0
 3.006900+6 1.479700+0 3.007000+6 1.782600+0 3.007100+6 3.063900+0
 3.007200+6 1.312500+0 3.007300+6 1.128400+0 3.007400+6 1.128000+0
 3.007500+6 1.139500+0 3.007600+6 1.150000+0 3.007700+6 1.158400+0
 3.007800+6 1.165100+0 3.007900+6 1.170500+0 3.008000+6 1.175000+0
 3.008200+6 1.181900+0 3.008400+6 1.187000+0 3.008600+6 1.190900+0
 3.008800+6 1.194100+0 3.009000+6 1.196700+0 3.010000+6 1.205400+0
 3.015000+6 1.223700+0 3.020000+6 1.236100+0 3.040000+6 1.286900+0
 3.050000+6 1.316200+0 3.060000+6 1.349000+0 3.080000+6 1.426900+0
 3.100000+6 1.524100+0 3.120000+6 1.644100+0 3.140000+6 1.789700+0
 3.160000+6 1.962400+0 3.170000+6 2.058400+0 3.180000+6 2.160400+0
 3.190000+6 2.268000+0 3.200000+6 2.386100+0 3.201000+6 2.399600+0
 3.202000+6 2.413900+0 3.203000+6 2.429500+0 3.204000+6 2.446900+0
 3.205000+6 2.467200+0 3.206000+6 2.492600+0 3.207000+6 2.527400+0
 3.208000+6 2.582400+0 3.209000+6 2.687500+0 3.210000+6 2.954900+0
 3.210500+6 3.277400+0 3.211000+6 3.935900+0 3.211100+6 4.127900+0
 3.211200+6 4.338800+0 3.211300+6 4.561900+0 3.211400+6 4.784400+0
 3.211500+6 4.986800+0 3.211600+6 5.144600+0 3.211700+6 5.234000+0
 3.211800+6 5.239000+0 3.211900+6 5.158500+0 3.212000+6 5.006600+0
 3.212200+6 4.583500+0 3.212400+6 4.144000+0 3.212600+6 3.776100+0
 3.212800+6 3.494600+0 3.213000+6 3.285900+0 3.213200+6 3.131900+0
 3.213400+6 3.017200+0 3.213600+6 2.930900+0 3.213800+6 2.864800+0
 3.214000+6 2.813700+0 3.214200+6 2.773500+0 3.214400+6 2.741600+0
 3.214600+6 2.716000+0 3.214800+6 2.695300+0 3.215000+6 2.678400+0
 3.216000+6 2.629400+0 3.217000+6 2.610500+0 3.218000+6 2.604500+0
 3.219000+6 2.604800+0 3.220000+6 2.608700+0 3.222000+6 2.621900+0
 3.224000+6 2.638600+0 3.226000+6 2.656900+0 3.228000+6 2.675900+0
 3.230000+6 2.695100+0 3.235000+6 2.743500+0 3.240000+6 2.790800+0
 3.245000+6 2.836500+0 3.250000+6 2.880000+0 3.255000+6 2.921000+0
 3.260000+6 2.959400+0 3.265000+6 2.994900+0 3.270000+6 3.027400+0
 3.275000+6 3.056800+0 3.280000+6 3.083200+0 3.285000+6 3.106400+0
 3.290000+6 3.126500+0 3.295000+6 3.143600+0 3.300000+6 3.157800+0
 3.305000+6 3.169200+0 3.310000+6 3.178000+0 3.312000+6 3.180800+0
